Utgiftsområde,Anslag,Namn,Regeringen,C,KD,L,M,SD,V
2,1:17,Upphandlingsmyndigheten,111079000,-15233000.0,0.0,0.0,0.0,0.0,0.0
23,1:17,Åtgärder för landsbygdens miljö och struktur,3783297000,0.0,0.0,0.0,0.0,0.0,960000000.0
24,1:18,Avgifter till vissa internationella organisationer,16860000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:18,Bidrag för upprätthållande av kollektivtrafik,1000000000,0.0,0.0,0.0,500000000.0,0.0,3000000000.0
23,1:18,Från EU-budgeten finansierade åtgärder för landsbygdens miljö och struktur,4088310000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:18,Myndigheten för yrkeshögskolan,143991000,-286000.0,0.0,5000.0,0.0,0.0,0.0
20,1:18,Stöd för gröna och trygga samhällen,200000000,0.0,0.0,0.0,0.0,-200000000.0,-200000000.0
24,1:19,Finansiering av rättegångskostnader,18000000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:19,Industriklivet,909000000,250000000.0,0.0,0.0,500000000.0,0.0,0.0
22,1:19,Lån till körkort,151466000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:19,Miljöförbättrande åtgärder i jordbruket,42330000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:19,Statligt stöd till yrkeshögskoleutbildning,3815236000,0.0,0.0,250000.0,0.0,200000000.0,0.0
10,1:2,Aktivitets- och sjukersättningar m.m.,41706400000,-574400000.0,-520400000.0,-574000.0,-2387000000.0,0.0,1850000000.0
17,1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",1450582000,0.0,-390000000.0,0.0,190000000.0,200000000.0,368000000.0
14,1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,42743597000,0.0,0.0,-308000.0,-4524000000.0,-20000000.0,1528000000.0
11,1:2,Efterlevandepensioner till vuxna,8834900000,0.0,0.0,0.0,0.0,0.0,0.0
8,1:2,Ersättningar och bostadskostnader,2190000000,0.0,100000000.0,0.0,0.0,-1095000000.0,-200000000.0
5,1:2,Freds- och säkerhetsfrämjande verksamhet,181848000,-144000.0,15000000.0,0.0,0.0,0.0,-10000000.0
6,1:2,Försvarsmaktens insatser internationellt,1476513000,0.0,0.0,0.0,0.0,0.0,-486000000.0
12,1:2,Föräldraförsäkring,48225247000,-3194000000.0,-2412000000.0,-3194000.0,-3194000000.0,-1719000000.0,-110000000.0
21,1:2,Insatser för energieffektivisering,118000000,-100000000.0,0.0,-100000.0,0.0,0.0,0.0
23,1:2,Insatser för skogsbruket,1066073000,0.0,0.0,0.0,-360000000.0,50000000.0,250000000.0
2,1:2,Kammarkollegiet,114574000,-89000.0,0.0,0.0,0.0,0.0,0.0
13,1:2,Kommunersättningar vid flyktingmottagande,4516216000,0.0,0.0,0.0,0.0,-2258000000.0,640000000.0
20,1:2,Miljöövervakning m.m.,513714000,-8000000.0,0.0,-8000.0,0.0,0.0,0.0
26,1:2,Oförutsedda utgifter,10000000,0.0,0.0,0.0,0.0,0.0,0.0
18,1:2,Omstrukturering av kommunala bostadsföretag,12500000,0.0,0.0,0.0,0.0,0.0,0.0
9,1:2,Statens beredning för medicinsk och social utvärdering,91251000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:2,Statens skolinspektion,481927000,-708000.0,0.0,4000.0,60000000.0,200000000.0,0.0
15,1:2,Studiemedel,19741430000,0.0,-1340000000.0,0.0,0.0,740000000.0,780000000.0
7,1:2,Styrelsen för internationellt utvecklingssamarbete (Sida),1652317000,0.0,0.0,19000.0,0.0,-500000000.0,0.0
4,1:2,Säkerhetspolisen,1828382000,0.0,17000000.0,0.0,37000000.0,210000000.0,0.0
19,1:2,Transportbidrag,430864000,0.0,0.0,0.0,0.0,0.0,0.0
3,1:2,Tullverket,2381672000,43000000.0,100000000.0,48000.0,80000000.0,90000000.0,30000000.0
25,1:2,Utjämningsbidrag för LSS-kostnader,4718355000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:2,Verket för innovationssystem: Forskning och utveckling,3540255000,10000000.0,-120000000.0,0.0,0.0,-1000000000.0,0.0
22,1:2,Vidmakthållande av statens transportinfrastruktur,30402263000,300000000.0,0.0,683000.0,525000000.0,500000000.0,4010000000.0
24,1:20,Bidrag till företagsutveckling och innovation,269472000,0.0,0.0,0.0,0.0,0.0,50000000.0
23,1:20,Stöd till jordbrukets rationalisering m.m.,24116000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:20,Åtgärder för ras- och skredsäkring längs Göta älv,215000000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:21,Driftstöd för bio-CCS,10000000,0.0,0.0,10000.0,10000000.0,250000000.0,0.0
24,1:21,Patent- och registreringsverket,335706000,-434000.0,0.0,-1000.0,0.0,11000000.0,0.0
23,1:21,Åtgärder på fjällägenheter,1529000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:22,Främjande av rennäringen m.m.,125915000,0.0,0.0,0.0,0.0,10000000.0,40000000.0
20,1:22,Kompetenslyft för klimatomställningen,100000000,-100000000.0,0.0,-100000.0,0.0,-100000000.0,0.0
24,1:22,Stöd vid korttidsarbete,365000000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:23,Brexitjusteringsreserven,386000000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:23,Sveriges lantbruksuniversitet,2134808000,0.0,0.0,-3000.0,0.0,50000000.0,85000000.0
23,1:24,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning och samfinansierad forskning",713664000,0.0,0.0,0.0,0.0,50000000.0,0.0
23,1:25,Bidrag till Skogs- och lantbruksakademien,1177000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:26,Nedsättning av slakteriavgifter,73237000,0.0,0.0,0.0,70000000.0,0.0,0.0
23,1:27,Åtgärder för beredskap inom livsmedels- och dricksvattenområdet,15000000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:28,Stödåtgärder för fiske och vattenbruk 2021–2027,101500000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:29,Från EU-budgeten finansierade stödåtgärder för fiske och vattenbruk 2021–2027,120000000,0.0,0.0,0.0,0.0,0.0,0.0
6,1:3,Anskaffning av materiel och anläggningar,19802213000,0.0,0.0,0.0,0.0,1287000000.0,-1300000000.0
15,1:3,Avsättning för kreditförluster,2000641000,0.0,50000000.0,0.0,0.0,0.0,0.0
25,1:3,Bidrag till kommunalekonomiska organisationer,7150000,0.0,0.0,0.0,0.0,0.0,0.0
11,1:3,Bostadstillägg till pensionärer,11461400000,0.0,900000000.0,0.0,0.0,-425000000.0,800000000.0
19,1:3,Europeiska regionala utvecklingsfonden perioden 2014-2020,1600000000,0.0,0.0,0.0,0.0,0.0,0.0
19,1:3,Europeiska regionala utvecklingsfonden perioden 2014–2020,1600000000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:3,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,25150000,0.0,0.0,0.0,0.0,0.0,0.0
13,1:3,Hemutrustningslån,167271000,0.0,0.0,0.0,0.0,-167271000.0,0.0
21,1:3,Insatser för förnybar elproduktion,25000000,0.0,-15000000.0,-25000.0,0.0,-25000000.0,0.0
24,1:3,Institutens strategiska kompetensmedel,997268000,45000000.0,-100000000.0,0.0,0.0,0.0,0.0
14,1:3,Kostnader för arbetsmarknadspolitiska program och insatser,11423145000,0.0,0.0,-899000.0,-2069000000.0,-2500000000.0,989000000.0
3,1:3,Kronofogdemyndigheten,2145164000,0.0,30000000.0,-6000.0,0.0,50000000.0,0.0
10,1:3,Merkostnadsersättning och handikappersättning,1351000000,0.0,0.0,0.0,0.0,30000000.0,0.0
8,1:3,Migrationspolitiska åtgärder,123013000,0.0,0.0,0.0,0.0,-123013000.0,0.0
7,1:3,Nordiska Afrikainstitutet,17308000,0.0,0.0,0.0,0.0,-2000000.0,0.0
5,1:3,Nordiskt samarbete,13595000,4000000.0,0.0,0.0,0.0,10000000.0,0.0
26,1:3,Riksgäldskontorets provisionsutgifter,145200000,0.0,0.0,0.0,0.0,0.0,0.0
17,1:3,Skapande skola,199964000,0.0,10000000.0,0.0,0.0,0.0,0.0
16,1:3,Specialpedagogiska skolmyndigheten,783592000,-2837000.0,0.0,-2000.0,0.0,0.0,255000000.0
23,1:3,Statens veterinärmedicinska anstalt,165256000,0.0,0.0,0.0,0.0,0.0,0.0
18,1:3,Stöd för att underlätta för enskilda att ordna bostad,43000000,0.0,0.0,0.0,0.0,0.0,0.0
9,1:3,Tandvårds- och läkemedelsförmånsverket,160340000,0.0,0.0,-1000.0,5000000.0,0.0,0.0
22,1:3,Trafikverket,1426106000,-2178000.0,0.0,-3000.0,0.0,0.0,0.0
12,1:3,Underhållsstöd,2838365000,0.0,-35000000.0,0.0,-35000000.0,0.0,0.0
4,1:3,Åklagarmyndigheten,1942249000,0.0,0.0,0.0,76000000.0,25000000.0,10000000.0
20,1:3,Åtgärder för värdefull natur,2064035000,160000000.0,0.0,0.0,280000000.0,0.0,0.0
12,1:4,Adoptionsbidrag,14784000,0.0,3200000.0,0.0,0.0,0.0,0.0
2,1:4,Arbetsgivarpolitiska frågor,1693000,0.0,0.0,0.0,0.0,0.0,0.0
10,1:4,Arbetsskadeersättningar m.m.,2252000000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:4,Bidrag till veterinär fältverksamhet,133940000,0.0,0.0,0.0,0.0,0.0,15000000.0
18,1:4,Boverket,316330000,-281000.0,-17000000.0,5000.0,-20000000.0,-2000000.0,500000000.0
8,1:4,Domstolsprövning i utlänningsmål,720015000,-1032000.0,10000000.0,-1000.0,0.0,20000000.0,0.0
4,1:4,Ekobrottsmyndigheten,855674000,0.0,0.0,0.0,0.0,35000000.0,0.0
5,1:4,Ekonomiskt bistånd till enskilda utomlands samt diverse kostnader för rättsväsendet,4826000,0.0,0.0,0.0,0.0,0.0,0.0
21,1:4,Energiforskning,1432723000,70000000.0,170000000.0,-200000.0,250000000.0,50000000.0,0.0
22,1:4,Ersättning för sjöräddning och fritidsbåtsändamål,369108000,0.0,0.0,0.0,0.0,0.0,0.0
19,1:4,Europeiska regionala utvecklingsfonden och Fonden för en rättvis omställning perioden 2021-2027,650000000,0.0,0.0,0.0,0.0,0.0,0.0
19,1:4,Europeiska regionala utvecklingsfonden och Fonden för en rättvis omställning perioden 2021–2027,650000000,0.0,0.0,0.0,0.0,0.0,0.0
7,1:4,Folke Bernadotteakademin,213367000,0.0,0.0,-18000.0,0.0,-21000000.0,0.0
6,1:4,Forskning och teknikutveckling,831905000,0.0,0.0,0.0,20000000.0,50000000.0,0.0
17,1:4,Forsknings- och utvecklingsinsatser inom kulturområdet,45153000,0.0,0.0,0.0,0.0,20000000.0,1000000.0
14,1:4,Lönebidrag och Samhall m.m.,20684009000,0.0,0.0,0.0,826000000.0,100000000.0,0.0
16,1:4,Sameskolstyrelsen,58434000,-65000.0,0.0,0.0,0.0,0.0,0.0
20,1:4,Sanering och återställning av förorenade områden,1167318000,0.0,0.0,0.0,0.0,30000000.0,0.0
15,1:4,Statens utgifter för studiemedelsräntor,18845000,0.0,0.0,0.0,0.0,0.0,0.0
9,1:4,Tandvårdsförmåner,7062169000,0.0,0.0,0.0,0.0,0.0,2350000000.0
25,1:4,Tillfälligt stöd till enskilda kommuner och regioner,250000000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:4,Tillväxtverket,663677000,51088000.0,15000000.0,0.0,10000000.0,36000000.0,0.0
11,1:4,Äldreförsörjningsstöd,1252200000,300000000.0,300000000.0,300000.0,0.0,-25000000.0,-100000000.0
12,1:5,Barnpension och efterlevandestöd,1029900000,0.0,0.0,0.0,0.0,0.0,0.0
9,1:5,Bidrag för läkemedelsförmånerna,33444000000,0.0,-480000000.0,0.0,0.0,0.0,500000000.0
15,1:5,Bidrag till kostnader vid viss gymnasieutbildning och vid viss föräldrautbildning i teckenspråk,62150000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:5,Djurhälsovård och djurskyddsfrämjande åtgärder,9933000,0.0,0.0,0.0,0.0,22000000.0,0.0
22,1:5,Ersättning för viss kanal- och slussinfrastruktur,146184000,0.0,0.0,0.0,0.0,0.0,0.0
10,1:5,Ersättning inom det statliga personskadeskyddet,36649000,0.0,0.0,0.0,0.0,0.0,0.0
21,1:5,Infrastruktur för elektrifierade transporter,600000000,0.0,100000000.0,0.0,-600000000.0,0.0,0.0
11,1:5,Inkomstpensionstillägg,6121000000,0.0,0.0,0.0,0.0,0.0,0.0
5,1:5,Inspektionen för strategiska produkter,52040000,-65000.0,0.0,0.0,0.0,1000000.0,0.0
25,1:5,Medel till befolkningsmässigt mindre kommuner,300000000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:5,Miljöforskning,96825000,-3000000.0,0.0,0.0,0.0,0.0,30000000.0
24,1:5,Näringslivsutveckling,905942000,-100000000.0,-275000000.0,0.0,-100000000.0,110000000.0,452000000.0
7,1:5,Riksrevisionen: Internationellt utvecklingssamarbete,50000000,0.0,0.0,0.0,0.0,0.0,0.0
8,1:5,Rättsliga biträden m.m. vid domstolsprövning i utlänningsmål,204800000,0.0,0.0,0.0,0.0,-48000000.0,0.0
14,1:5,Rådet för Europeiska socialfonden i Sverige,136864000,0.0,0.0,0.0,0.0,0.0,0.0
18,1:5,Statens geotekniska institut,56847000,-78000.0,0.0,0.0,0.0,0.0,0.0
6,1:5,Statens inspektion för försvarsunderrättelseverksamheten,11463000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:5,Statliga tjänstepensioner m.m.,14094000000,0.0,0.0,0.0,0.0,0.0,0.0
17,1:5,Stöd till icke-statliga kulturlokaler,9852000,0.0,0.0,0.0,0.0,15000000.0,0.0
4,1:5,Sveriges Domstolar,6632674000,40000000.0,100000000.0,0.0,0.0,95000000.0,10000000.0
16,1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,4253693000,-880000000.0,0.0,5416000.0,20000000.0,0.0,329000000.0
23,1:6,Bekämpning av smittsamma djursjukdomar,183349000,0.0,0.0,0.0,0.0,0.0,0.0
10,1:6,Bidrag för sjukskrivningsprocessen,1491700000,0.0,1000000000.0,0.0,0.0,100000000.0,0.0
9,1:6,Bidrag till folkhälsa och sjukvård,24868886000,0.0,1650000000.0,-1700000.0,80000000.0,515000000.0,4520000000.0
17,1:6,Bidrag till regional kulturverksamhet,1681723000,0.0,0.0,-3000.0,0.0,0.0,0.0
15,1:6,Bidrag till vissa studiesociala ändamål,31000000,0.0,0.0,0.0,0.0,0.0,0.0
21,1:6,Energimarknadsinspektionen,184294000,-247000.0,0.0,10000.0,0.0,0.0,0.0
22,1:6,Ersättning avseende icke statliga flygplatser,128813000,0.0,0.0,0.0,59000000.0,250000000.0,0.0
14,1:6,Europeiska socialfonden m.m. för perioden 2014-2020,2545600000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:6,Finanspolitiska rådet,10936000,-14000.0,0.0,0.0,0.0,0.0,0.0
5,1:6,"Forskning, utredningar och andra insatser rörande säkerhetspolitik, nedrustning och icke-spridning",79358000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:6,Kemikalieinspektionen,298094000,-359000.0,0.0,0.0,0.0,0.0,0.0
4,1:6,Kriminalvården,12162399000,0.0,161000000.0,0.0,645000000.0,717000000.0,0.0
