Kod,Namn,Regeringens förslag,Avvikelse från regeringen
2:23,Linnéuniversitetet: Utbildning på grundnivå och avancerad nivå,1202655,0
2:24,Linnéuniversitetet: Forskning och utbildning på forskarnivå,390389,0
2:25,Örebro universitet: Utbildning på grundnivå och avancerad nivå,897172,0
2:26,Örebro universitet: Forskning och utbildning på forskarnivå,322304,0
2:27,Mittuniversitetet: Utbildning på grundnivå och avancerad nivå,636012,0
2:28,Mittuniversitetet: Forskning och utbildning på forskarnivå,287390,0
2:29,Malmö universitet: Utbildning på grundnivå och avancerad nivå,1071023,−92000
2:30,Malmö universitet: Forskning och utbildning på forskarnivå,300160,0
2:31,Mälardalens universitet: Utbildning på grundnivå och avancerad nivå,693913,0
2:32,Mälardalens universitet: Forskning och utbildning på forskarnivå,282626,−132000
2:33,Blekinge tekniska högskola: Utbildning på grundnivå och avancerad nivå,289707,0
2:34,Blekinge tekniska högskola: Forskning och utbildning på forskarnivå,109825,0
2:35,Stockholms konstnärliga högskola: Utbildning på grundnivå och avancerad nivå,216661,55639
2:36,Stockholms konstnärliga högskola: Konstnärlig forskning och utbildning på forskarnivå,55639,−55639
2:37,Gymnastik- och idrottshögskolan: Utbildning på grundnivå och avancerad nivå,123864,0
2:38,Gymnastik- och idrottshögskolan: Forskning och utbildning på forskarnivå,34895,0
2:39,Högskolan i Borås: Utbildning på grundnivå och avancerad nivå,571955,0
2:40,Högskolan i Borås: Forskning och utbildning på forskarnivå,106082,0
2:41,Högskolan Dalarna: Utbildning på grundnivå och avancerad nivå,487005,0
2:42,Högskolan Dalarna: Forskning och utbildning på forskarnivå,109431,0
2:43,Högskolan i Gävle: Utbildning på grundnivå och avancerad nivå,526317,0
2:44,Högskolan i Gävle: Forskning och utbildning på forskarnivå,116196,0
2:45,Högskolan i Halmstad: Utbildning på grundnivå och avancerad nivå,454910,0
2:46,Högskolan i Halmstad: Forskning och utbildning på forskarnivå,103157,0
2:47,Högskolan Kristianstad: Utbildning på grundnivå och avancerad nivå,456948,0
2:48,Högskolan Kristianstad: Forskning och utbildning på forskarnivå,99395,0
2:49,Högskolan i Skövde: Utbildning på grundnivå och avancerad nivå,357206,0
2:50,Högskolan i Skövde: Forskning och utbildning på forskarnivå,66586,0
2:51,Högskolan Väst: Utbildning på grundnivå och avancerad nivå,424527,0
2:52,Högskolan Väst: Forskning och utbildning på forskarnivå,93697,0
2:53,Konstfack: Utbildning på grundnivå och avancerad nivå,181683,22222
2:54,Konstfack: Konstnärlig forskning och utbildning på forskarnivå,22222,−22222
2:55,Kungl. Konsthögskolan: Utbildning på grundnivå och avancerad nivå,70193,13037
2:56,Kungl. Konsthögskolan: Konstnärlig forskning och utbildning på forskarnivå,13037,−13037
2:57,Kungl. Musikhögskolan i Stockholm: Utbildning på grundnivå och avancerad nivå,146193,22357
2:58,Kungl. Musikhögskolan i Stockholm: Konstnärlig forskning och utbildning på forskarnivå,22357,−22357
2:59,Södertörns högskola: Utbildning på grundnivå och avancerad nivå,479407,−59000
2:60,Södertörns högskola: Forskning och utbildning på forskarnivå,125467,0
2:61,Försvarshögskolan: Utbildning på grundnivå och avancerad nivå,39626,0
2:62,Försvarshögskolan: Forskning och utbildning på forskarnivå,24275,0
2:63,Enskilda utbildningsanordnare på högskoleområdet,3837353,0
2:64,Särskilda utgifter inom universitet och högskolor,950902,0
2:65,Särskilda medel till universitet och högskolor,534740,0
2:66,Ersättningar för klinisk utbildning och forskning,2769954,0
2:67,Särskilda bidrag inom högskoleområdet,67580,0
3:1,Vetenskapsrådet: Forskning och forskningsinformation,7028846,−300000
3:2,Vetenskapsrådet: Avgifter till internationella organisationer,420061,0
3:3,Vetenskapsrådet: Förvaltning,197453,0
3:4,Rymdforskning och rymdverksamhet,1227356,200000
3:5,Rymdstyrelsen: Förvaltning,46152,0
3:6,Institutet för rymdfysik,62845,0
3:7,Kungl. biblioteket,422655,0
3:8,Polarforskningssekretariatet,66363,0
3:9,Sunet,49183,0
3:10,Överklagandenämnden för etikprövning,5409,0
3:11,Etikprövningsmyndigheten,51207,0
3:12,Nämnden för prövning av oredlighet i forskning,8350,0
3:13,Särskilda utgifter för forskningsändamål,88995,0
