Anslag,Namn,Avvikelse från regeringen,Utgiftsområde
1:6,Bidrag till regional kulturverksamhet,-3000,17
1:7,Myndigheten för kulturanalys,0,17
2:1,Bidrag till vissa scenkonstinstitutioner,-2000,17
2:3,Statens musikverk,0,17
3:2,Myndigheten för tillgängliga medier,0,17
3:3,Institutet för språk och folkminnen,0,17
4:1,Statens konstråd,0,17
5:1,Konstnärsnämnden,0,17
6:1,Riksarkivet,-1000,17
7:1,Riksantikvarieämbetet,0,17
8:1,Centrala museer: Myndigheter,-2000,17
8:4,Forum för levande historia,0,17
9:1,Myndigheten för stöd till trossamfund,0,17
11:4,Statens medieråd,0,17
12:1,Myndigheten för ungdoms- och civilsamhällesfrågor,0,17
12:2,Bidrag till nationell och internationell ungdomsverksamhet,20000,17
14:1,Bidrag till folkbildningen,-300000,17
15:1,Spelinspektionen,0,17
1:4,Boverket,5000,18
1:5,Statens geotekniska institut,0,18
1:6,Lantmäteriet,-1000,18
1:7,Energieffektivisering av flerbostadshus,-1565000,18
1:8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,-400000,18
2:1,Konsumentverket,0,18
2:2,Allmänna reklamationsnämnden,0,18
2:3,Fastighetsmäklarinspektionen,0,18
1:1,Regionala utvecklingsåtgärder,26000,19
1:1,Naturvårdsverket,-1000,20
1:2,Miljöövervakning m.m.,-8000,20
1:6,Kemikalieinspektionen,0,20
1:8,Klimatbonus,-500000,20
1:9,Sveriges meteorologiska och hydrologiska institut,-1000,20
1:15,Havs- och vattenmyndigheten,0,20
1:16,Klimatinvesteringar,1800000,20
1:17,Klimatpremier,-900000,20
1:21,Driftstöd för bio-CCS,10000,20
1:22,Kompetenslyft för klimatomställningen,-100000,20
2:2,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning",0,20
99:1,Förberedelser för lagring av koldioxid i Sverige,20000,20
1:1,Statens energimyndighet,11000,21
1:2,Insatser för energieffektivisering,-100000,21
1:3,Insatser för förnybar elproduktion,-25000,21
1:4,Energiforskning,-200000,21
1:6,Energimarknadsinspektionen,10000,21
1:8,Elberedskap,400000,21
1:11,Elsäkerhetsverket,0,21
99:1,Insatser för fossilfri energi,25000,21
99:2,Förberedelser för elflyg,20000,21
99:3,Räntefria lån för expansion av elnät utifrån prognos,15000,21
1:1,Utveckling av statens transportinfrastruktur,30000,22
1:2,Vidmakthållande av statens transportinfrastruktur,683000,22
1:3,Trafikverket,-3000,22
1:9,Statens väg- och transportforskningsinstitut,0,22
1:12,Transportstyrelsen,-8000,22
1:13,Trafikanalys,0,22
2:1,Post- och telestyrelsen,-1000,22
2:5,Driftsäker och tillgänglig elektronisk kommunikation,900000,22
1:1,Skogsstyrelsen,-1000,23
1:3,Statens veterinärmedicinska anstalt,0,23
1:4,Bidrag till veterinär fältverksamhet,0,23
1:8,Statens jordbruksverk,-1000,23
1:14,Livsmedelsverket,0,23
1:23,Sveriges lantbruksuniversitet,-3000,23
99:1,Subvention till fossilfria bränslen,150000,23
1:1,Verket för innovationssystem,0,24
1:4,Tillväxtverket,0,24
1:6,Myndigheten för tillväxtpolitiska utvärderingar och analyser,0,24
1:8,Sveriges geologiska undersökning,0,24
1:13,Konkurrensverket,0,24
1:21,Patent- och registreringsverket,-1000,24
2:1,Styrelsen för ackreditering och teknisk kontroll: Myndighetsverksamhet,0,24
2:2,Kommerskollegium,0,24
1:1,Kommunalekonomisk utjämning,1166000,25
